Features,Labels
"[168.02678357928536, 143.01398533010678, 228.0, 109.22453936730518, 151.11915828246265, 74.10802925459562, 37.013511046643494, 66.97450799147197, 49.45560283332632, 278.06464642736205]",heart
"[170.10584939971935, 145.0551619212498, 219.0, 99.76472322419383, 154.01298646542764, 78.16009211867653, 40.01249804748511, 59.03624346792648, 42.96908576314689, 287.17620819422007]",heart
"[185.04323819042943, 159.0125781188394, 256.0, 128.70120434556935, 168.1071087134628, 83.05419917138447, 43.01162633521314, 63.94650468950905, 45.62959860841026, 280.92878299400377]",heart
"[178.0028089666003, 148.05404418657398, 234.0, 118.84864324004712, 166.04818577750254, 78.23042886243178, 41.10960958218893, 67.75097634278764, 51.49077163447568, 278.43549651855466]",heart
"[163.01226947687098, 139.01438774457844, 225.0, 106.77546534667971, 155.0129026887762, 76.10519036176179, 39.05124837953327, 59.2645122980799, 45.379436701418975, 278.13010235415595]",heart
"[170.07351351694948, 150.00333329629711, 237.0, 108.90362712049586, 156.05127362504928, 80.00624975587844, 42.01190307520001, 64.59228189105153, 45.74405920288871, 281.61208856337]",heart
"[163.01226947687098, 140.00357138301865, 222.0, 96.20810776644555, 145.03103116229988, 75.1065909225016, 38.01315561749642, 62.78388844269252, 43.3153156821037, 283.3924977537511]",heart
"[162.02777539668932, 134.00373129133382, 222.0, 104.80458005259122, 152.0526224699857, 78.00640999302557, 40.0, 65.22485943116808, 48.09405805891711, 276.3057166634331]",heart
"[163.0, 145.03103116229988, 233.0, 104.06248123122954, 145.01379244747721, 75.02666192761077, 39.01281840626232, 62.81888891452278, 42.27368900609373, 276.68248618834866]",heart
"[154.01298646542764, 138.05795884337854, 216.0, 96.21330469326995, 137.05838172107534, 70.06425622241343, 36.05551275463989, 71.1139126302907, 52.17724585085501, 282.8509826493041]",heart
"[175.025712396779, 143.0873858870865, 231.0, 95.80187889597991, 152.3975065412817, 74.33034373659252, 38.118237105091836, 55.00797980144134, 36.51105611949528, 291.69026068004536]",heart
"[165.07574019219177, 144.05554484295286, 217.0, 105.38026380684383, 152.00328943809077, 74.02702209328699, 39.01281840626232, 58.57043438516149, 46.15345045110537, 282.60414728376185]",heart
"[187.0240626229684, 162.077142126828, 239.0, 114.02192771568107, 172.04650534085255, 83.15046602394962, 43.04648650006177, 57.724355685422374, 41.80046029043743, 282.2647737278924]",heart
"[160.0281225285106, 139.00359707575916, 218.0, 106.4048871058092, 153.0130713370593, 76.10519036176179, 39.05124837953327, 66.97450799147197, 49.573921259900864, 272.4895529219992]",heart
"[161.0, 139.00359707575916, 226.0, 104.7377677822093, 148.0135128966271, 81.05553651663777, 40.01249804748511, 66.29735404903376, 47.32153058983272, 278.5021476413593]",heart
"[180.0444389588304, 159.02829936838285, 227.0, 107.48953437428223, 159.0125781188394, 79.00632886041473, 41.012193308819754, 62.24145939893998, 44.24615166692923, 285.2492076559816]",heart
"[163.00306745579974, 140.00357138301865, 225.0, 98.41239759298622, 143.0, 73.00684899377592, 38.01315561749642, 69.27444113443946, 47.88296345253954, 285.94539590092285]",heart
"[169.00295855398508, 144.01388821915754, 226.0, 107.56393447619885, 156.02884348735012, 76.10519036176179, 41.012193308819754, 57.42594286542748, 42.739498088858724, 281.0035408517495]",heart
"[173.18487231857176, 147.12239802287073, 227.0, 116.10340218959993, 153.00326793895613, 75.16648189186454, 38.05259518088089, 67.47943439710312, 47.79270236571328, 282.6986490635715]",heart
"[169.00295855398508, 144.01388821915754, 221.0, 105.41821474489122, 153.0130713370593, 73.00684899377592, 38.0, 62.81888891452278, 46.921955958931434, 282.33809325022924]",heart
"[171.18703221914913, 150.0, 221.0, 113.07077429645558, 147.0136048126159, 63.50590523722971, 32.2490309931942, 67.16634582208245, 51.10277965365579, 287.3146092118338]",heart
"[161.07762104029226, 146.01369798755184, 231.0, 104.1393297462587, 145.0551619212498, 73.02739212103907, 38.01315561749642, 62.17590361574674, 41.49646835521554, 283.3735858556523]",heart
"[160.15305179733542, 135.00370365289984, 215.0, 105.0, 150.2131818450032, 79.1012010022604, 40.049968789001575, 71.56505117707799, 53.13010235415598, 278.2150568474145]",heart
"[173.02600960549256, 146.00342461736986, 229.0, 102.17631819555841, 155.32224567009067, 73.43704787094863, 39.11521443121589, 53.97262661489639, 40.23635830927382, 288.68800725840447]",heart
"[169.01183390520322, 143.05593311708537, 224.0, 109.34349546269316, 156.11534197509224, 79.22752047110903, 40.19950248448356, 69.14554196042165, 50.19442890773481, 278.8990972077197]",heart
"[174.0028735394907, 153.0, 230.0, 104.7377677822093, 151.0, 76.00657866263946, 38.0, 62.81888891452278, 42.678469410167274, 281.9111005686459]",heart
"[176.00284088616297, 145.1240848377691, 230.0, 103.9471019317037, 162.04937519163718, 82.02438661763951, 43.01162633521314, 64.6538240580533, 44.61023880468194, 278.8041392521405]",heart
"[167.14664220378464, 145.01379244747721, 224.0, 108.89444430272832, 151.0529708413575, 79.0, 40.01249804748511, 64.59228189105153, 45.0, 282.4524318970645]",heart
"[160.0281225285106, 141.00354605470034, 228.0, 100.12492197250393, 144.34680460612904, 73.43704787094863, 38.2099463490856, 57.0947570770121, 39.73230287195577, 284.4912202421278]",heart
"[166.01204775557707, 147.03060905811415, 228.0, 106.15083607772479, 151.00331122197287, 77.02596964660685, 40.01249804748511, 58.57043438516149, 42.709389957361466, 280.4239518041754]",heart
"[171.011695506477, 143.0034964607509, 225.0, 103.32473082471591, 159.15401345866212, 80.30566605165541, 42.190046219457976, 58.13402230639632, 42.64670313389169, 279.8553572296286]",heart
"[171.0, 144.0, 242.0, 112.60994627474076, 157.00318468107582, 80.02499609497022, 42.04759208325728, 60.57254359681026, 41.760299703897864, 277.4722592459876]",heart
"[175.0028571195339, 152.0, 232.0, 111.07204868912791, 160.0, 84.0, 44.0, 66.16125981682826, 46.82408983237611, 277.80707674207446]",heart
